listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohosts,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
75683,Kiloranhouse Apt Prime Bedroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/5497476/24a9d5bc_original.jpg,13,26997,Adriel,"",false,-1.2848,36.7924,,,1,0.0,false,"",true,2,Moderate,KES,0,0,25,4.79,4.6,4.9,4.8,5.0,4.8,4.7,997.0,128664.0,49.8,6435.4,0.1,0.0,2.7,352.5,0.0,0.0,20,0,345,365,135.0,17528.0,45.4,5879.1,0.0,0.0,1.5,194.8,0.0,0.0,3,0,87,90
471581,Located In a Serene Environment,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/6434524/bcd9fbe4_original.jpg,37,2280941,Bella,"",true,-1.2268,36.8577,3,2,2,1.0,false,"",false,2,Moderate,KES,18,0,79,4.81,4.8,4.8,4.7,4.9,4.8,4.8,2336.0,301525.0,42.6,5513.2,0.2,0.2,6.4,826.1,8.8,1142.1,58,101,307,365,0.0,0.0,45.2,5854.9,0.0,0.0,0.0,0.0,0.0,0.0,0,76,90,90
906958,Makena's Place Karen - Flamingo Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/68ecc57f-d57b-4d12-bfa6-bbd1fb4107e3.jpg,29,4856316,Chichi,"",true,-1.3240,36.7053,,,1,0.0,false,"",true,1,Firm,KES,10,20,65,4.91,4.9,4.9,5.0,4.9,4.9,4.9,4409.0,569432.0,48.0,6200.1,0.3,0.3,12.1,1560.1,13.1,1694.7,93,29,272,365,978.0,126606.0,54.6,7066.0,0.2,0.0,10.9,1406.7,0.0,0.0,18,0,72,90
1237886,Hob House,Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/cbdab7e1-f840-44ed-a028-6085d21ea284.jpg?aki_policy=medium,8,6748840,,"",false,-1.2258,36.7679,2,7,9,1.0,,"",,1,Flexible,KES,0,20,57,4.79,4.8,4.8,4.9,4.6,4.7,4.8,1452.0,187368.0,110.7,14314.7,0.0,0.0,4.0,513.3,0.0,0.0,13,0,352,365,0.0,0.0,113.4,14690.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
1803821,Makena's Place Karen - All Rooms,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/786899c5-b8a6-4453-bb73-a9f0e90add80.jpg,58,4856316,Chichi,"",true,-1.3237,36.7059,,3,3,0.0,false,"",true,1,Firm,KES,10,0,11,4.91,5.0,5.0,5.0,4.5,4.9,4.9,5491.0,708869.0,124.0,16030.4,0.1,0.2,15.0,1942.1,19.6,2531.7,44,85,321,365,1125.0,145354.0,124.0,16055.8,0.1,0.0,12.5,1615.0,0.0,0.0,9,0,81,90
1808465,Makena's Place Karen - K Girl & Gecko Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/cf1c76e0-0493-4149-bb66-1faea2658c8c.jpg,15,4856316,Chichi,"",true,-1.3233,36.7077,,2,2,0.0,false,"",true,1,Firm,KES,5,30,75,4.97,5.0,5.0,5.0,5.0,5.0,5.0,4072.0,526440.0,32.2,4160.8,0.4,0.0,11.2,1442.3,0.0,0.0,133,0,232,365,660.0,85382.0,37.7,4882.9,0.2,0.0,7.3,948.7,0.0,0.0,18,0,72,90
2377288,Gorgeous Westlands 2bed/2.5bath flat,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/31664808/409e99fc_original.jpg,17,5356456,Anne-Marie,"",true,-1.2628,36.7987,4,2,2,2.5,false,"",false,7,Moderate,KES,40,0,3,4.33,5.0,5.0,4.3,5.0,5.0,4.3,1573.0,203237.0,162.0,20941.0,0.0,0.1,4.3,556.8,8.7,1122.9,12,184,353,365,1573.0,203237.0,126.1,16334.2,0.1,0.0,17.5,2258.2,0.0,0.0,12,0,78,90
2486516,Stunning guest cottage in tranquil setting,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2486516/original/05ea2fe5-9e30-43a6-af43-4b1273aedeff.jpeg,26,3934891,Jeremy,"",true,-1.3734,36.7403,8,4,5,2.0,false,"",false,1,Moderate,KES,20,100,133,4.98,5.0,5.0,5.0,5.0,5.0,4.9,16710.0,2160363.0,141.1,18238.6,0.4,0.4,45.8,5918.8,46.5,6017.7,129,6,236,365,4336.0,561847.0,208.5,27008.0,0.2,0.3,48.2,6242.7,51.6,6688.7,22,6,68,90
2498391,Cosy 2 Bedroom Guest House in Lavington Green,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/5dbcd0fe-18af-4c93-b10d-5e02ae627a51.jpg,42,289048986,Ciru,"501477043:Lorna,12788164:Stanley",false,-1.2743,36.7746,2,2,2,1.0,false,"",false,2,Moderate,KES,2,0,18,4.94,4.9,4.9,4.8,4.9,5.0,4.8,2984.0,385666.0,59.2,7652.0,0.1,0.2,8.2,1056.6,9.0,1161.6,50,33,315,365,1348.0,174513.0,61.2,7926.5,0.2,0.0,15.0,1939.0,0.0,0.0,22,0,68,90
2868580,Cosy Garden Cottage / House,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/37119989/faf28811_original.jpg,18,14663062,Jürgen,"",true,-1.2298,36.7976,1,1,1,1.0,false,"",false,3,Flexible,KES,17,0,41,4.9,5.0,5.0,4.8,5.0,4.9,4.9,8106.0,1047439.0,32.7,4226.3,0.7,0.7,22.2,2869.7,23.5,3036.1,251,20,114,365,1122.0,145494.0,35.1,4540.1,0.4,0.5,12.5,1616.6,16.0,2078.5,33,20,57,90
3614505,"Eden on 12th floor,beautiful studio perfect for 2",Entire condo,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-3614505/original/5f7b6e4a-6fa2-4bb2-8047-c581dec465df.jpg,47,18212400,Celia,"",false,-1.2900,36.7786,2,1,2,1.0,false,"",false,2,Flexible,KES,50,10,27,4.81,4.8,4.8,5.0,4.7,4.8,4.7,2073.0,267708.0,34.0,4388.3,0.2,0.2,5.7,733.4,6.6,852.6,65,51,300,365,0.0,0.0,37.0,4796.2,0.0,0.0,0.0,0.0,0.0,0.0,0,16,90,90
3669802,"Charming & Cozy 2BD penthouse, Riara Road, Nairobi",Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3669802/original/44d5d7b8-44ba-4cd4-81ca-a7a7d0151f93.jpeg,36,18312752,Ann,"",false,-1.2964,36.7636,4,2,2,2.0,false,"",false,2,Flexible,KES,8,0,52,4.71,4.8,4.9,4.8,4.8,4.9,4.7,12965.0,1675801.0,43.3,5598.0,0.8,0.0,35.5,4591.2,0.0,0.0,298,0,67,365,2774.0,359179.0,41.0,5311.6,0.7,0.0,30.8,3990.9,0.0,0.0,67,0,23,90
3896787,Kilimani Century Gardens B602,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/49030584/850a98b4_original.jpg,24,20127918,Omollo,"",false,-1.2977,36.7982,4,2,2,2.0,false,"",true,2,Moderate,KES,10,0,25,4.6,4.6,4.8,4.6,4.9,4.8,4.6,370.0,47805.0,37.2,4814.7,0.0,0.0,1.0,131.0,0.0,0.0,12,0,353,365,370.0,47805.0,31.4,4064.2,0.1,0.0,4.1,531.2,0.0,0.0,12,0,78,90
3956790,Kilimani Century Gardens B601,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/071f27b2-c5a3-4973-ac9b-9ddf409bad38.jpg,23,20127918,Omollo,"",false,-1.2968,36.7960,4,2,2,2.0,false,"",true,2,Moderate,KES,5,0,74,4.69,4.8,4.8,4.6,4.9,4.7,4.6,1406.0,181496.0,37.4,4835.4,0.1,0.0,3.9,497.2,0.0,0.0,36,0,329,365,98.0,12663.0,32.9,4261.6,0.0,0.0,1.1,140.7,0.0,0.0,3,0,87,90
4106780,"Serene Melrose Gardens 3 br, 3 bath Guest-wing.",Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/b6fd7a43-5feb-4315-a90b-46edd52e71fc.jpg,28,18787829,Sancho,62077708:Angelina,false,-1.2390,36.8447,5,3,3,1.0,false,"",false,3,Flexible,KES,20,0,5,4.8,4.2,5.0,4.4,5.0,4.4,4.6,3230.0,417470.0,60.0,7761.2,0.2,0.0,8.8,1143.8,0.0,0.0,56,0,309,365,0.0,0.0,66.7,8643.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
